,ra,ra_error,dec,dec_error,source_id,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,dec_parallax_corr,dec_pmdec_corr,dec_pmra_corr,parallax_pmdec_corr,parallax_pmra_corr,pmra_pmdec_corr,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,ruwe,probability,stability,label
539,83.320763658924,0.08184160976450312,1.925499951400188,0.07549275600080352,3223515174902129664,2.981575759156573,0.09787087744792973,1.3710904650389713,0.1594399387409586,-0.6306471842808148,0.1349811602572168,-0.35683396,-0.47639623,0.19165438,0.24592708,0.20933127,-0.31603053,-0.27546394,0.14025414,-0.17944448,0.27711442,0,4382.117316873475,5.479387975063887,16.584156,710.1712522943558,10.079536641443443,18.22298,5779.814357717155,21.495970388555932,15.357135000000001,2.8658457000000004,,,3673.7068,0.7917,0.4613,,,1.01730287862,0.2335680751173709,3408,1
540,83.13555068936631,0.09076313043075006,1.858064040334624,0.07893256439125679,3223512082525718912,2.8211268189007215,0.09638820556744973,1.4919434513304293,0.1692544755806866,-0.2579530323350401,0.143115216925516,-0.33295417,-0.5494924,0.25628793,0.12879702,0.3421171,-0.41124544,-0.4591058,0.14342332,-0.49892277,0.43730918,0,6226.357812360771,8.187839171346408,16.202779999999997,1243.5832423446045,18.98663916856828,17.6147,7780.375083891275,33.41439908052804,15.034419,2.5802812999999998,,,3721.01,,,0.60021996,0.06222415,1.07027095435,0.3227699530516432,3408,1
541,83.16269549999744,0.09011021963032233,1.998057921567304,0.08310199309246273,3223566229176973184,2.9679693115842967,0.10633060287605474,1.3707578200574386,0.1717464545034406,-0.0195500999247565,0.14555120972183036,-0.38067105,-0.39773759999999997,0.25854066,0.20261231,0.23746529,-0.23995820000000004,-0.22205433,0.12777641,-0.1860483,0.3875275,0,5761.213860827668,10.392225478512897,16.28708,849.9282210681838,16.671683036592558,18.027932999999997,7935.618577414714,35.279549778556635,15.012967999999999,3.014965,,,4152.3003,,,,,1.11760885658,0.2529342723004695,3408,1
542,83.21156652339009,0.12637659467061216,1.8305250112988207,0.11096057077988357,3223508436097256832,2.987312948312949,0.12794790938457432,1.6336811315781905,0.24150521847049214,-0.9263759618875542,0.193650205618373,-0.19763331,-0.6412908,0.42072782,0.0060185506,0.391275,-0.50298977,-0.52057624,-0.06583323,-0.5674189000000001,0.5514496,0,2245.7606201672293,3.835693658222089,17.309957999999998,315.23939444680536,9.403421586366662,19.104788,3110.8771280972865,13.180098126112645,16.029713,3.0750751,,,,,,,,0.924981944482,0.10856807511737089,3408,1
543,83.17604850632034,0.1109675044585777,1.9008143932752863,0.10912965192442124,3223512632281516288,2.8806867724171337,0.13873996645187447,1.7426077111602334,0.21686918021094398,-0.7278028090167592,0.1938743945657113,-0.47553199999999995,-0.41587886,0.102482006,0.18473288,0.17970677,-0.14073521,-0.22269593,0.15856265,-0.26895243,0.241682,0,2293.360267416207,4.765004355313184,17.287186,342.3932469174547,11.128069544811561,19.015076,3176.4442181229438,8.718815931269559,16.007067000000003,3.008009,,,,,,,,0.938897695563,0.20774647887323944,3408,1
545,81.03217229471389,0.08560698696048454,0.5487700789165881,0.08286320275957637,3221852301003603456,2.9849069178456014,0.11067746385334533,1.1781035573379957,0.1680135297116315,-0.28572936333011234,0.1411796690343749,-0.50938225,-0.39639083,0.18875946,0.26184937,0.10942482,-0.31465334,-0.30952215,0.18383993,-0.036568005,0.2869899,0,3642.955079174007,6.362170312604352,16.78473,601.2706979458717,6.6525956755756965,18.403713,4920.225703892766,14.521881289921858,15.531958,2.8717556,,,3991.6833,0.7147,0.4322,,,0.9963037020409999,0.16314553990610328,3408,1
549,81.21583778609764,0.1079556301336618,0.6759416846103874,0.10471033539806096,3221860994017392000,2.7105558957512,0.13152147948637224,1.4810059423136908,0.20077322121022212,-0.39214307196275777,0.17586773631936342,-0.4293577,-0.49186456,0.21141498,0.24043456,0.25903037,-0.30813664,-0.36351126,0.20123169,-0.22508569,0.38422787,0,2306.3768302683347,3.814364532452811,17.28104,303.97431053563884,10.416051916310943,19.144297,3321.870483630037,14.085328952533262,15.958464000000001,3.185833,,,,,,,,1.0524636954000002,0.1352699530516432,3408,1
554,81.0233076648137,0.11234939557000914,0.7418576847243329,0.09968127483933582,3222046983280996224,2.8655221069644266,0.12415837349814406,1.161824256084282,0.2262987820683033,-0.18152081751539906,0.18621857571995665,-0.28061932,-0.44131076,0.13229789,0.12786667,-0.0017763801000000002,-0.12235418,-0.20211062,0.29440588,-0.15593684,0.16350302,0,4700.311973406771,5.0296412063141664,16.508049,594.7876326787513,8.314281923191416,18.415483,6714.174416172136,23.42989922250225,15.194438,3.2210455000000002,,,3552.7075,1.6285,0.9345,0.598564,0.05142257,1.11041492017,0.2934272300469484,3408,1
555,81.18373650134741,0.08984686193873044,0.6967818780345537,0.0913715027352158,3221861268895299584,2.7463974140947203,0.1080119246706057,1.414202794554274,0.1687573278059214,-0.3649318739638585,0.15791444435966873,-0.41173548,-0.45190865,0.30263203,0.20508038,0.1715634,-0.3467465,-0.39491016,0.17368186,-0.21725793,0.42803285,0,3829.3568102651375,6.666690224906709,16.73055,613.5703436014606,12.099922723876253,18.381726999999998,5228.0867825684445,40.960221892310045,15.466063,2.9156647,,,4314.72,,,,,1.05850304871,0.20422535211267606,3408,1
556,81.20573100007284,0.046501244917034064,0.7603796865582829,0.04344782790360451,3221866010539360896,2.9578741949521983,0.05457972082170216,1.324879119749708,0.09154342378424014,-0.22518906038137226,0.07535687932049845,-0.36205953,-0.5269232,0.28202699999999997,0.14367321,0.14869393,-0.32336408,-0.33883727,0.054977145,-0.2536265,0.35654864,0,14682.495628388015,27.273172226545164,15.271366,3816.4754674168453,32.53277156387898,16.397232000000002,16610.274985080727,79.49183174112501,14.210977999999999,2.1862545,,,3610.3333,,,0.97137254,0.14442937,1.0456883019,0.33480046948356806,3408,1
564,81.11073048227442,0.07807798397180066,1.2139710979441969,0.07261489806028318,3222100756271349120,2.810479555786585,0.09621409906118278,1.4946440020804288,0.1576683195417815,-0.14769320871212874,0.1277688126631871,-0.4740611,-0.44136822,0.23126394,0.2377031,0.09694058400000001,-0.35620096,-0.2808616,0.037775107,-0.12710844,0.28572306,0,4500.279846742692,5.455712957053138,16.555267,830.9501519584472,9.422396417363515,18.05245,5816.89327743853,17.040828347282797,15.350192000000002,2.702258,,,3885.48,,,,,1.09283004244,0.4630281690140845,3408,1
565,81.09712336346817,0.0650350504933954,1.2469500174612698,0.05860407410493385,3222104016151525504,2.906248097863076,0.07558179387661533,1.637913039068808,0.12607551117855562,-0.3275539512167701,0.1025875226710398,-0.42120874,-0.44129533,0.2738804,0.15441146,0.21324041,-0.31528049999999996,-0.28327440000000004,0.027475688999999998,-0.2593591,0.40148720000000004,0,5858.666937993394,6.612428717963809,16.26887,1182.9889290737128,13.937934523809812,17.668936,7270.5377187496,27.72602932696826,15.108004000000001,2.5609322,,,3827.42,,,0.5150378,0.051285826,0.920298329896,0.3171948356807512,3408,1
569,80.69161692149882,0.03653009322149516,0.493884093240013,0.031668353186159445,3221666243020316032,2.869136506795805,0.042642589198173333,1.0576329574883019,0.07140100807648236,-0.1255365167584753,0.059912618366993416,-0.31517649999999997,-0.45485216,0.050469145,0.18920983,0.042652477,-0.18464218,-0.20025742,0.31814167,-0.16799505,0.10410864,0,18727.81238306561,84.25319212512322,15.007148,4971.976416397485,93.59534891702287,16.110065,21116.317308649508,278.0181195819838,13.950375,2.1596908999999997,,,3620.0,,,1.1209948,0.19441789999999998,1.03617396554,0.5035211267605634,3408,1
