,object_id,gid,density,,duplicated_source,dec_error,ra,dec,phot_bp_mean_mag_error,phot_rp_mean_mag,lum_val,b,phot_g_mean_mag,ra_error,pmra_error,radial_velocity_error,phot_bp_mean_mag,phot_rp_mean_flux,pmra,l,source_id,phot_g_mean_flux,teff_val,e_bp_min_rp_val,bp_rp,pmdec_error,radial_velocity,radius_val,pmdec,phot_g_mean_flux_error,parallax,phot_bp_mean_flux_error,phot_bp_mean_flux,phot_rp_mean_mag_error,phot_rp_mean_flux_error,a_g_val,phot_g_mean_mag_error,parallax_error,plx
5197,5197,1,653.7878,7235,0,0.0235,84.59949870845,-2.0950104037,0.0067,12.5366,0.606,-17.17805561273,13.318,0.0219,0.039,,13.9879,77646.00977627303,1.8719999999999999,206.30580521868998,3217271185807481856,88744.23925132629,4546.55,,1.4512,0.038,,1.25,-1.515,161.71672192808956,2.7012,215.7123663383247,35108.50329584889,0.0051,362.407792649982,,0.002,0.0263,2.7012
6655,6655,1,652.72296,9009,0,0.0298,80.96478822931,1.05697905871,0.0104,13.3458,0.278,-18.86929146595,14.2474,0.0309,0.057,,15.0719,36849.538937540536,1.26,201.56955898009,3222073573422712064,37704.43948653727,4069.6,,1.726,0.05,,1.06,0.0,83.06676519448007,2.9276,123.58386726025978,12936.171909186985,0.0066,223.9641608178509,,0.0024,0.0311,2.9276
5978,5978,1,652.2933,8214,0,0.0232,81.86030798083,-1.76654622697,0.0084,13.5013,0.28800000000000003,-19.44101848419,14.4266,0.0254,0.059000000000000004,,15.2981,31934.267720969845,1.295,204.64636957794,3220129744240754304,31966.07179575821,3938.17,0.8733,1.7969,0.046,,1.15,-1.1079999999999999,61.140997598076325,2.7597,80.85853606889641,10502.744623866767,0.0074,216.9368266016301,1.732,0.0021,0.0365,2.7597
5541,5541,1,641.30884,7614,0,0.0388,84.15893743856,-0.8436281989,0.0016,9.4116,10.452,-16.979677926970002,9.8458,0.0408,0.08199999999999999,2.19,10.1483,1380857.8606107293,1.903,204.93358658071,3217706489332606208,2172926.1906554443,5981.35,,0.7368,0.071,22.66,3.01,-1.024,660.5668560641708,2.8508,1743.0889556048621,1205648.1262750756,0.0016,2017.9757722517995,,0.0003,0.0479,2.8508
6733,6733,1,639.0992,9097,0,0.0242,80.76608865330999,1.57602460215,0.0077,13.2265,0.287,-18.788294526629997,14.0936,0.0245,0.047,,14.8668,41131.90925499269,1.4,200.98864684034,3222180402144875648,43441.508668842995,4381.0,0.6868,1.6403,0.040999999999999995,,0.93,0.11900000000000001,55.43272293368785,2.8422,110.361355773748,15626.223439704016,0.0066,250.92544198380048,1.3995,0.0014,0.0314,2.8422
5964,5964,1,637.3013,8199,0,0.0526,82.05614318863,-1.94700020627,0.0016,9.4138,,-19.35371080562,9.4645,0.0554,0.15,,9.5081,1378005.3769710758,1.254,204.91300415082,3220111877176803584,3086943.9794893437,9167.75,0.089,0.0943,0.109,,,-0.932,1629.1859434443122,2.7537,3232.8740311816273,2174320.642164644,0.0015,1929.234746010874,0.1823,0.0006,0.074,2.7537
5936,5936,1,636.74915,8168,0,0.0549,81.52480770596999,-2.27608127812,0.0171,15.0696,0.069,-19.97711489257,16.2816,0.0573,0.141,,17.7529,7531.988765032789,1.083,204.95541622496998,3220075730732118016,5790.288342726023,3560.0,,2.6832,0.125,,0.69,-1.413,17.048855087252118,2.7375,17.272101109824554,1094.9903277340359,0.0096,66.42298917673233,,0.0032,0.073,2.7375
7596,7596,1,635.59204,10282,0,0.0692,82.29066969758,3.85801663931,0.0274,14.8608,0.057,-16.337344417289998,16.0664,0.0769,0.138,,17.5769,9129.88721742838,1.245,199.6957178223,3236091114021994880,7059.987874553657,3936.81,,2.7161,0.114,,0.51,-0.528,31.116752967249287,2.922,32.438393943563625,1287.68843803625,0.0128,107.38542414919914,,0.0048,0.0918,2.922
5969,5969,1,635.53284,8204,0,0.0161,82.08026596929,-1.8677452484700001,0.0096,12.4532,0.599,-19.29506109689,13.2057,0.0179,0.042,,13.8262,83845.47413021578,1.455,204.85100629573003,3220118989642636288,98416.00572100014,4728.01,,1.373,0.033,,1.15,-1.125,222.78145628820388,2.7734,358.4237856908492,40746.03160887798,0.0065,505.6500275870427,,0.0025,0.0223,2.7734
6715,6715,1,628.19696,9077,0,0.0492,81.028660036,1.61670763097,0.0151,14.887,0.069,-18.53965511095,16.0694,0.0579,0.11699999999999999,,17.4824,8912.221492549948,1.358,201.08723252996003,3222167070566339712,7040.004156389848,3740.9,,2.5954,0.091,,0.62,-0.35100000000000003,19.03694382847916,2.8357,19.53300680289054,1404.7561547102523,0.0077,63.56049988874978,,0.0029,0.0679,2.8357
7550,7550,1,624.1994,10231,0,0.0285,82.29562529771,3.56603186482,0.0014,9.8933,7.336,-16.477710929649998,10.2932,0.0344,0.069,5.13,10.5651,886037.3968477678,1.449,199.96266868193,3236035416886134016,1439074.0516210366,6144.83,,0.6719,0.055999999999999994,41.78,2.39,-0.55,635.1226102597102,2.7619,1028.9236833654395,821289.2740841508,0.0012,998.1286685152713,,0.0005,0.0378,2.7619
7554,7554,1,616.94556,10235,0,0.0751,82.45448115727,3.6702071227,0.0321,14.7503,,-16.28839306543,15.9214,0.0765,0.136,,17.3173,10107.794037233552,1.547,199.95007808224,3236038131305435520,8068.058646033664,3282.0,,2.5671,0.126,,,-0.48700000000000004,47.223257335987654,2.7509,48.42220931121993,1635.4028268724744,0.0174,162.36740544313272,,0.0064,0.0836,2.7509
5360,5360,1,613.6366,7420,0,0.0334,84.56224410706,-1.09364554367,0.0064,11.0019,2.364,-16.7419090258,11.6291,0.0334,0.073,7.73,12.1116,319169.6405870323,1.95,205.36262021425,3217495962918511872,420445.14047338907,5067.57,,1.1098,0.064,9.28,1.99,-1.296,731.3249413441084,2.7658,1160.373335466113,197650.73404273303,0.0049,1453.9346472497089,,0.0019,0.0435,2.7658
6661,6661,1,612.3352,9015,0,0.0453,81.07345375093,1.0377423764700002,0.0097,11.9182,0.978,-18.783852543820004,12.5418,0.0531,0.105,2.81,13.0273,137242.49088292776,1.1909999999999998,201.64332293580003,3222084843416897664,181390.01391217695,4953.6,0.3693,1.1091,0.08900000000000001,9.76,1.34,-0.031,499.69982590365447,2.8584,758.6710959007103,85044.58311981315,0.0079,1000.844261161452,0.7408,0.003,0.0475,2.8584
